PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET,CFACPR,RETX,sprtrn
12490,19990608,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,116.62500,-0.032158,1,-0.032158,-0.012881
12490,19990609,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,117.00000,0.003215,1,0.003215,0.000994
12490,19990610,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,115.25000,-0.014957,1,-0.014957,-0.011997
12490,19990611,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,114.31250,-0.008134,1,-0.008134,-0.007046
12490,19990614,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,115.50000,0.010388,1,0.010388,0.000278
12490,19990615,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,115.87500,0.003247,1,0.003247,0.005533
12490,19990616,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,120.68750,0.041532,1,0.041532,0.022480
12490,19990617,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,120.18750,-0.004143,1,-0.004143,0.007133
12490,19990618,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,120.75000,0.004680,1,0.004680,0.002194
12490,19990621,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,124.75000,0.033126,1,0.033126,0.004587
12490,19990622,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.37500,-0.011022,1,-0.011022,-0.009726
12490,19990623,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.93750,-0.003546,1,-0.003546,-0.002111
12490,19990624,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.56250,-0.003050,1,-0.003050,-0.012963
12490,19990625,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.12500,0.004589,1,0.004589,-0.000357
12490,19990628,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.56250,-0.004569,1,-0.004569,0.012195
12490,19990629,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,124.62500,0.016828,1,0.016828,0.015097
12490,19990630,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,129.25000,0.037111,1,0.037111,0.015731
12490,19990701,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,131.00000,0.013540,1,0.013540,0.006010
12490,19990702,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,132.25000,0.009542,1,0.009542,0.007430
12490,19990706,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,131.00000,-0.009452,1,-0.009452,-0.002228
12490,19990707,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,132.81250,0.013836,1,0.013836,0.005576
12490,19990708,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,134.00000,0.008941,1,0.008941,-0.001032
12490,19990709,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,137.37500,0.025187,1,0.025187,0.006354
12490,19990712,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,137.81250,0.003185,1,0.003185,-0.002979
12490,19990713,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,137.87500,0.000454,1,0.000454,-0.003960
12490,19990714,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,137.25000,-0.004533,1,-0.004533,0.003308
12490,19990715,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,136.31250,-0.006831,1,-0.006831,0.008189
12490,19990716,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,136.25000,-0.000459,1,-0.000459,0.006498
12490,19990719,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,134.62500,-0.011927,1,-0.011927,-0.007845
12490,19990720,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,128.25000,-0.047354,1,-0.047354,-0.021703
12490,19990721,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,129.00000,0.005848,1,0.005848,0.001590
12490,19990722,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.87500,-0.039729,1,-0.039729,-0.013282
12490,19990723,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,124.81250,0.007568,1,0.007568,-0.002961
12490,19990726,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.00000,-0.014522,1,-0.014522,-0.006765
12490,19990727,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,126.25000,0.026423,1,0.026423,0.011189
12490,19990728,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,128.37500,0.016832,1,0.016832,0.001878
12490,19990729,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,125.37500,-0.023369,1,-0.023369,-0.017848
12490,19990730,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,125.68750,0.002493,1,0.002493,-0.009180
12490,19990802,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.25000,-0.027350,1,-0.027350,-0.000504
12490,19990803,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,119.37500,-0.023517,1,-0.023517,-0.004420
12490,19990804,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,118.50000,-0.007330,1,-0.007330,-0.012744
12490,19990805,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.18750,0.039557,1,0.039557,0.006420
