PERMNO,date,TICKER,PRC
13856,19920610,PEP,34.87500
13856,19920611,PEP,35.62500
13856,19920612,PEP,36.00000
13856,19920615,PEP,35.50000
13856,19920616,PEP,35.37500
13856,19920617,PEP,35.25000
13856,19920618,PEP,34.75000
13856,19920619,PEP,35.12500
13856,19920622,PEP,34.50000
13856,19920623,PEP,34.75000
13856,19920624,PEP,34.37500
13856,19920625,PEP,34.50000
13856,19920626,PEP,34.75000
13856,19920629,PEP,35.50000
13856,19920630,PEP,34.87500
13856,19920701,PEP,35.25000
13856,19920702,PEP,36.00000
13856,19920706,PEP,36.00000
13856,19920707,PEP,36.00000
13856,19920708,PEP,36.25000
13856,19920709,PEP,36.75000
13856,19920710,PEP,36.75000
13856,19920713,PEP,36.62500
13856,19920714,PEP,36.37500
13856,19920715,PEP,36.00000
13856,19920716,PEP,36.00000
13856,19920717,PEP,36.00000
13856,19920720,PEP,35.62500
13856,19920721,PEP,36.75000
13856,19920722,PEP,36.00000
13856,19920723,PEP,36.50000
13856,19920724,PEP,36.75000
13856,19920727,PEP,36.25000
13856,19920728,PEP,37.50000
13856,19920729,PEP,37.50000
13856,19920730,PEP,37.00000
13856,19920731,PEP,37.37500
13856,19920803,PEP,37.37500
13856,19920804,PEP,37.50000
13856,19920805,PEP,37.50000
13856,19920806,PEP,37.37500
13856,19920807,PEP,37.00000
13856,19920810,PEP,37.37500
13856,19920811,PEP,37.62500
13856,19920812,PEP,38.12500
13856,19920813,PEP,38.50000
13856,19920814,PEP,38.50000
13856,19920817,PEP,38.62500
13856,19920818,PEP,38.50000
13856,19920819,PEP,37.75000
13856,19920820,PEP,38.37500
13856,19920821,PEP,37.62500
13856,19920824,PEP,37.25000
13856,19920825,PEP,37.62500
13856,19920826,PEP,37.87500
13856,19920827,PEP,37.87500
13856,19920828,PEP,37.87500
13856,19920831,PEP,37.50000
13856,19920901,PEP,37.25000
13856,19920902,PEP,37.00000
13856,19920903,PEP,38.00000
13856,19920904,PEP,37.62500
13856,19920908,PEP,37.75000
13856,19920909,PEP,37.75000
13856,19920910,PEP,38.00000
13856,19920911,PEP,38.00000
13856,19920914,PEP,38.37500
13856,19920915,PEP,38.25000
13856,19920916,PEP,38.37500
13856,19920917,PEP,38.87500
13856,19920918,PEP,38.62500
13856,19920921,PEP,38.50000
13856,19920922,PEP,37.00000
13856,19920923,PEP,37.12500
13856,19920924,PEP,37.75000
13856,19920925,PEP,37.37500
13856,19920928,PEP,37.87500
13856,19920929,PEP,37.87500
13856,19920930,PEP,37.87500
13856,19921001,PEP,39.12500
13856,19921002,PEP,38.50000
13856,19921005,PEP,38.12500
13856,19921006,PEP,37.75000
13856,19921007,PEP,37.37500
13856,19921008,PEP,37.87500
13856,19921009,PEP,37.25000
13856,19921012,PEP,37.87500
13856,19921013,PEP,38.62500
13856,19921014,PEP,39.00000
13856,19921015,PEP,39.37500
13856,19921016,PEP,39.75000
13856,19921019,PEP,40.00000
13856,19921020,PEP,40.12500
13856,19921021,PEP,40.12500
13856,19921022,PEP,40.00000
13856,19921023,PEP,39.37500
13856,19921026,PEP,39.37500
13856,19921027,PEP,39.87500
13856,19921028,PEP,40.12500
13856,19921029,PEP,39.87500
13856,19921030,PEP,39.87500
13856,19921102,PEP,40.25000
13856,19921103,PEP,39.87500
13856,19921104,PEP,39.37500
13856,19921105,PEP,38.87500
13856,19921106,PEP,39.37500
13856,19921109,PEP,39.62500
13856,19921110,PEP,39.87500
13856,19921111,PEP,40.87500
13856,19921112,PEP,40.37500
13856,19921113,PEP,40.50000
13856,19921116,PEP,40.50000
13856,19921117,PEP,41.00000
13856,19921118,PEP,41.87500
13856,19921119,PEP,41.62500
13856,19921120,PEP,42.50000
13856,19921123,PEP,41.75000
13856,19921124,PEP,41.37500
13856,19921125,PEP,41.00000
13856,19921127,PEP,41.00000
13856,19921130,PEP,40.75000
13856,19921201,PEP,40.75000
13856,19921202,PEP,41.62500
13856,19921203,PEP,41.25000
13856,19921204,PEP,41.87500
13856,19921207,PEP,41.87500
13856,19921208,PEP,42.50000
13856,19921209,PEP,42.37500
13856,19921210,PEP,41.87500
13856,19921211,PEP,42.37500
13856,19921214,PEP,42.50000
13856,19921215,PEP,42.75000
13856,19921216,PEP,42.12500
13856,19921217,PEP,42.00000
13856,19921218,PEP,42.37500
13856,19921221,PEP,42.62500
13856,19921222,PEP,42.50000
13856,19921223,PEP,42.37500
13856,19921224,PEP,42.25000
13856,19921228,PEP,42.75000
13856,19921229,PEP,42.12500
13856,19921230,PEP,42.12500
13856,19921231,PEP,41.50000
13856,19930104,PEP,41.12500
13856,19930105,PEP,40.75000
13856,19930106,PEP,40.12500
13856,19930107,PEP,39.00000
13856,19930108,PEP,39.62500
13856,19930111,PEP,39.62500
13856,19930112,PEP,40.12500
13856,19930113,PEP,40.12500
13856,19930114,PEP,40.75000
13856,19930115,PEP,41.50000
13856,19930118,PEP,41.50000
13856,19930119,PEP,41.12500
13856,19930120,PEP,40.87500
13856,19930121,PEP,41.12500
13856,19930122,PEP,41.00000
13856,19930125,PEP,41.00000
13856,19930126,PEP,41.75000
13856,19930127,PEP,42.37500
13856,19930128,PEP,41.87500
13856,19930129,PEP,41.87500
13856,19930201,PEP,42.25000
13856,19930202,PEP,41.75000
13856,19930203,PEP,41.50000
13856,19930204,PEP,41.50000
13856,19930205,PEP,40.50000
13856,19930208,PEP,40.37500
13856,19930209,PEP,39.37500
13856,19930210,PEP,39.75000
13856,19930211,PEP,40.62500
13856,19930212,PEP,39.50000
13856,19930216,PEP,39.50000
13856,19930217,PEP,40.37500
13856,19930218,PEP,40.00000
13856,19930219,PEP,40.00000
13856,19930222,PEP,39.75000
13856,19930223,PEP,40.25000
13856,19930224,PEP,40.37500
13856,19930225,PEP,39.62500
13856,19930226,PEP,39.87500
13856,19930301,PEP,39.25000
13856,19930302,PEP,40.50000
13856,19930303,PEP,41.00000
13856,19930304,PEP,40.87500
13856,19930305,PEP,41.37500
13856,19930308,PEP,42.50000
13856,19930309,PEP,42.12500
13856,19930310,PEP,42.12500
13856,19930311,PEP,42.00000
13856,19930312,PEP,40.62500
13856,19930315,PEP,40.62500
13856,19930316,PEP,40.87500
13856,19930317,PEP,41.00000
13856,19930318,PEP,41.50000
13856,19930319,PEP,42.00000
13856,19930322,PEP,41.75000
13856,19930323,PEP,41.25000
13856,19930324,PEP,41.75000
13856,19930325,PEP,42.25000
13856,19930326,PEP,42.00000
13856,19930329,PEP,42.62500
13856,19930330,PEP,42.75000
13856,19930331,PEP,42.87500
13856,19930401,PEP,42.75000
13856,19930402,PEP,41.62500
13856,19930405,PEP,40.50000
13856,19930406,PEP,40.00000
13856,19930407,PEP,39.62500
13856,19930408,PEP,39.00000
13856,19930412,PEP,39.25000
13856,19930413,PEP,39.37500
13856,19930414,PEP,39.25000
13856,19930415,PEP,38.75000
13856,19930416,PEP,36.87500
13856,19930419,PEP,36.50000
13856,19930420,PEP,36.37500
13856,19930421,PEP,37.50000
13856,19930422,PEP,36.62500
13856,19930423,PEP,36.62500
13856,19930426,PEP,37.25000
13856,19930427,PEP,36.62500
13856,19930428,PEP,37.37500
13856,19930429,PEP,37.75000
13856,19930430,PEP,37.62500
13856,19930503,PEP,37.00000
13856,19930504,PEP,37.00000
13856,19930505,PEP,37.75000
13856,19930506,PEP,37.12500
13856,19930507,PEP,37.00000
13856,19930510,PEP,36.62500
13856,19930511,PEP,37.25000
13856,19930512,PEP,37.25000
13856,19930513,PEP,36.25000
13856,19930514,PEP,35.75000
13856,19930517,PEP,37.00000
13856,19930518,PEP,36.50000
13856,19930519,PEP,37.00000
13856,19930520,PEP,37.75000
13856,19930521,PEP,36.87500
13856,19930524,PEP,36.50000
13856,19930525,PEP,36.62500
13856,19930526,PEP,36.62500
13856,19930527,PEP,36.25000
13856,19930528,PEP,36.25000
13856,19930601,PEP,36.25000
13856,19930602,PEP,36.12500
13856,19930603,PEP,36.00000
13856,19930604,PEP,36.00000
13856,19930607,PEP,35.37500
13856,19930608,PEP,35.25000
13856,19930609,PEP,34.87500
13856,19930610,PEP,35.62500
13856,19930611,PEP,36.50000
13856,19930614,PEP,36.25000
13856,19930615,PEP,35.62500
13856,19930616,PEP,35.62500
